month,exercise_name,total_sets,total_volume_kg,avg_weight_kg,best_1rm_kg
2020-07-01,Cable Crossover,17,2124.0,10.6,16.9
2020-07-01,Chest Dip,12,2475.0,17.5,30.7
2020-07-01,Chest Fly,6,4028.0,58.8,91.0
2020-07-01,Chest Press (Machine),3,1595.0,51.7,78.0
2020-07-01,Deadlift (Barbell),6,4220.0,98.7,128.3
2020-07-01,Face Pull (Cable),6,1300.0,16.3,24.9
2020-07-01,Hammer Curl (Dumbbell),6,696.0,12.0,16.4
2020-07-01,Incline Bench Press (Dumbbell),9,2282.0,31.8,43.7
2020-07-01,Incline Curl (Dumbbell),3,240.0,10.0,12.7
2020-07-01,Lat Pulldown (Cable),3,2240.0,70.0,102.7
2020-07-01,Lat Pulldown (Machine),3,2085.0,70.0,96.7
2020-07-01,Lat Pulldown (Single Arm),7,2043.0,30.7,44.3
2020-07-01,Lateral Raise (Cable),14,1155.0,6.8,11.4
2020-07-01,Lateral Raise (Machine),3,798.0,27.5,37.6
2020-07-01,Leg Extension (Machine),10,7398.0,64.3,99.1
2020-07-01,Leg Press,12,32350.0,237.5,375.0
2020-07-01,Lying Leg Curl (Machine),12,5788.0,44.6,66.7
2020-07-01,Pull Up,10,810.0,10.0,13.3
2020-07-01,Reverse Fly (Machine),15,7373.0,42.2,68.3
2020-07-01,Romanian Deadlift (Barbell),6,3370.0,66.7,88.7
2020-07-01,Seated Calf Raise (Plate Loaded),9,2160.0,20.0,30.0
2020-07-01,Seated Leg Press (Machine),6,8355.0,123.3,183.3
2020-07-01,Seated Overhead Press (Dumbbell),3,616.0,22.0,29.3
2020-07-01,Seated Row (Cable),9,6170.0,71.1,101.3
2020-07-01,Seated Row (Machine),12,8513.0,66.3,99.1
2020-07-01,Shoulder Press (Machine),6,2318.0,45.0,63.3
2020-07-01,Shrug (Barbell),3,1920.0,53.3,84.0
2020-07-01,Shrug (Machine),9,2541.0,20.4,34.0
2020-07-01,Squat (Barbell),11,5725.0,75.5,95.0
2020-07-01,Strict Military Press (Barbell),9,2760.0,42.8,57.0
2020-07-01,Sumo Deadlift (Barbell),7,3940.0,85.7,114.0
2020-07-01,Triceps Extension (Cable),18,4815.0,20.0,34.0
2020-07-01,Triceps Pushdown (Cable - Straight Bar),6,1406.0,18.8,29.4
2020-07-01,Upright Row (Cable),6,1434.0,21.5,33.3
2020-08-01,Arnold Press (Dumbbell),3,580.0,20.0,26.7
2020-08-01,Bench Press (Barbell),18,8875.0,77.8,98.7
2020-08-01,Bicep Curl (Barbell),3,850.0,25.0,35.0
2020-08-01,Bicep Curl (Cable),3,280.0,9.6,13.9
2020-08-01,Bicep Curl (Machine),21,8370.0,39.5,65.9
2020-08-01,Cable Crossover,12,1491.0,10.2,19.3
2020-08-01,Chest Dip,10,1780.0,16.5,27.3
2020-08-01,Chest Fly,12,9000.0,62.1,97.5
2020-08-01,Deadlift (Barbell),3,2210.0,96.7,135.7
2020-08-01,Face Pull (Cable),9,2378.0,18.1,31.9
2020-08-01,Incline Bench Press (Dumbbell),12,3200.0,32.0,44.8
2020-08-01,Incline Curl (Dumbbell),6,568.0,9.7,14.0
2020-08-01,Iso-Lateral Row (Machine),6,1698.0,28.3,41.0
2020-08-01,Lat Pulldown (Cable),3,1440.0,66.7,84.0
2020-08-01,Lat Pulldown (Machine),9,6108.0,69.7,99.1
2020-08-01,Lat Pulldown (Single Arm),9,2970.0,32.8,46.7
2020-08-01,Lateral Raise (Cable),24,2123.0,7.5,13.1
2020-08-01,Lateral Raise (Machine),3,853.0,27.5,39.4
2020-08-01,Leg Extension (Machine),9,8088.0,70.6,110.0
2020-08-01,Leg Press,12,29160.0,235.0,383.3
2020-08-01,Lying Leg Curl (Machine),9,4798.0,50.6,73.3
2020-08-01,Pull Up,15,928.0,7.5,18.5
2020-08-01,Reverse Fly (Machine),9,5371.0,44.4,68.1
2020-08-01,Romanian Deadlift (Barbell),9,5640.0,73.3,104.0
2020-08-01,Seated Calf Raise (Plate Loaded),20,6855.0,25.3,45.0
2020-08-01,Seated Leg Curl (Machine),3,2310.0,52.5,84.3
2020-08-01,Seated Leg Press (Machine),3,2880.0,120.0,158.3
2020-08-01,Seated Overhead Press (Dumbbell),6,1144.0,21.7,29.3
2020-08-01,Seated Row (Cable),9,5820.0,73.3,101.3
2020-08-01,Seated Row (Machine),12,9348.0,65.4,93.2
2020-08-01,Shoulder Press (Machine),3,1120.0,40.0,56.0
2020-08-01,Shrug (Machine),9,2810.0,20.4,34.8
2020-08-01,Squat (Barbell),9,4060.0,81.7,99.2
2020-08-01,Strict Military Press (Barbell),14,4038.0,45.4,58.3
2020-08-01,Sumo Deadlift (Barbell),7,3750.0,92.9,121.0
2020-08-01,Triceps Extension (Cable),12,3398.0,20.1,38.3
2020-08-01,Triceps Pushdown (Cable - Straight Bar),18,4449.0,20.7,31.9
2020-08-01,Upright Row (Cable),9,2749.0,23.5,35.8
2020-09-01,Back Extension,12,1635.0,10.8,22.0
2020-09-01,Bench Press (Barbell),13,6320.0,77.7,101.3
2020-09-01,Bent Over Row (Barbell),12,6350.0,59.2,80.0
2020-09-01,Bicep Curl (Machine),26,11576.0,45.8,74.2
2020-09-01,Cable Crossover,14,1900.0,10.8,19.3
2020-09-01,Chest Dip,3,600.0,20.0,28.0
2020-09-01,Chest Fly,7,3688.0,59.3,91.0
2020-09-01,Deadlift (Barbell),11,5380.0,95.5,128.3
2020-09-01,Hack Squat (Barbell),4,1500.0,55.0,76.0
2020-09-01,Hammer Curl (Dumbbell),14,1514.0,10.4,16.0
2020-09-01,Incline Bench Press (Dumbbell),12,3050.0,30.8,42.7
2020-09-01,Incline Curl (Dumbbell),15,1586.0,11.3,16.8
2020-09-01,Lat Pulldown (Cable),3,750.0,30.0,39.0
2020-09-01,Lat Pulldown (Single Arm),12,3705.0,32.9,46.7
2020-09-01,Lateral Raise (Cable),21,1884.0,7.4,11.8
2020-09-01,Leg Extension (Machine),12,10905.0,66.5,108.8
2020-09-01,Leg Press,15,32750.0,216.7,316.7
2020-09-01,Lying Leg Curl (Machine),3,560.0,21.7,31.7
2020-09-01,Pull Up,9,670.0,9.4,19.5
2020-09-01,Pullover (Machine),21,6270.0,26.3,40.3
2020-09-01,Reverse Fly (Machine),18,10650.0,44.3,72.0
2020-09-01,Romanian Deadlift (Barbell),9,6460.0,70.0,106.7
2020-09-01,Seated Calf Raise (Plate Loaded),15,6910.0,30.7,53.3
2020-09-01,Seated Leg Curl (Machine),12,8180.0,56.3,88.8
2020-09-01,Seated Leg Press (Machine),2,1872.0,117.0,148.2
2020-09-01,Seated Overhead Press (Dumbbell),12,2148.0,21.0,28.7
2020-09-01,Seated Row (Cable),9,5720.0,72.2,96.0
2020-09-01,Shoulder Press (Machine),7,2470.0,34.3,54.7
2020-09-01,Shrug (Barbell),3,1440.0,60.0,78.0
2020-09-01,Skullcrusher (Barbell),9,2160.0,22.8,33.0
2020-09-01,Strict Military Press (Barbell),3,860.0,43.3,54.0
2020-09-01,Triceps Extension (Cable),14,2227.0,13.2,21.7
2020-09-01,Triceps Pushdown (Cable - Straight Bar),17,5041.0,21.2,41.9
2020-10-01,Back Extension,6,780.0,10.0,15.0
2020-10-01,Bench Press (Barbell),11,4940.0,79.8,99.0
2020-10-01,Bent Over Row (Barbell),7,3660.0,52.9,76.0
2020-10-01,Bicep Curl (Barbell),4,983.0,25.6,35.0
2020-10-01,Bicep Curl (Cable),3,338.0,10.8,15.4
2020-10-01,Bicep Curl (Machine),39,16919.0,47.1,77.0
2020-10-01,Cable Crossover,21,2505.0,9.5,19.7
2020-10-01,Chest Dip,9,1505.0,17.8,33.3
2020-10-01,Chest Fly,4,2483.0,61.3,86.3
2020-10-01,Crunch (Machine),45,17925.0,25.6,52.0
2020-10-01,Deadlift (Barbell),6,3820.0,91.7,120.0
2020-10-01,Hammer Curl (Dumbbell),6,760.0,10.0,15.3
2020-10-01,Incline Bench Press (Dumbbell),12,2942.0,33.8,44.2
2020-10-01,Incline Curl (Dumbbell),7,656.0,10.6,15.6
2020-10-01,Lat Pulldown (Cable),16,6415.0,46.3,93.3
2020-10-01,Lat Pulldown (Single Arm),3,870.0,30.0,41.0
2020-10-01,Lateral Raise (Cable),15,1225.0,7.3,10.8
2020-10-01,Lateral Raise (Machine),6,1673.0,27.5,39.0
2020-10-01,Leg Extension (Machine),18,16148.0,71.1,111.2
2020-10-01,Leg Press,12,29550.0,208.3,325.0
2020-10-01,Lying Leg Curl (Machine),6,3500.0,50.0,76.7
2020-10-01,Pull Up,10,1035.0,13.5,19.5
2020-10-01,Pullover (Machine),18,5308.0,26.6,41.2
2020-10-01,Reverse Fly (Machine),18,10210.0,42.8,68.0
2020-10-01,Romanian Deadlift (Barbell),7,4740.0,75.7,106.7
2020-10-01,Seated Calf Raise (Plate Loaded),9,4140.0,30.0,50.0
2020-10-01,Seated Leg Curl (Machine),12,7970.0,55.0,86.3
2020-10-01,Seated Leg Press (Machine),3,3383.0,102.5,146.9
2020-10-01,Seated Overhead Press (Dumbbell),6,980.0,22.3,28.8
2020-10-01,Seated Row (Cable),10,6040.0,70.0,98.7
2020-10-01,Seated Row (Machine),11,5910.0,55.5,94.3
2020-10-01,Shoulder Press (Machine),9,2960.0,37.8,55.5
2020-10-01,Skullcrusher (Barbell),9,2503.0,24.2,35.0
2020-10-01,Squat (Barbell),7,2900.0,76.4,93.3
2020-10-01,Strict Military Press (Barbell),13,3395.0,42.3,54.0
2020-10-01,T Bar Row,5,1810.0,44.0,60.0
2020-10-01,Triceps Extension,6,509.0,6.8,12.0
2020-10-01,Triceps Extension (Cable),3,200.0,6.3,8.5
2020-10-01,Triceps Pushdown (Cable - Straight Bar),12,4190.0,24.6,40.8
2020-11-01,Ab Wheel,27,0.0,0.0,0.0
2020-11-01,Bent Over One Arm Row (Dumbbell),15,4026.0,22.0,32.3
2020-11-01,Bicep Curl (Cable),18,0.0,0.0,0.0
2020-11-01,Bicep Curl (Machine),4,1571.0,46.0,70.7
2020-11-01,Bulgarian Split Squat,12,2574.0,22.0,30.8
2020-11-01,Chest Dip,12,0.0,0.0,0.0
2020-11-01,Goblet Squat (Kettlebell),6,1738.0,22.0,33.7
2020-11-01,Handstand Push Up,12,0.0,0.0,0.0
2020-11-01,Kettlebell Swing,12,4000.0,16.0,29.3
2020-11-01,Lateral Raise (Dumbbell),12,910.0,5.0,8.0
2020-11-01,Leg Extension (Machine),3,2670.0,70.8,102.5
2020-11-01,Overhead Press (Dumbbell),8,1040.0,16.0,20.8
2020-11-01,Pull Up,28,938.0,6.7,24.9
2020-11-01,Pullover (Dumbbell),9,2052.0,18.7,30.8
2020-11-01,Push Up,9,0.0,0.0,0.0
2020-11-01,Romanian Deadlift (Barbell),3,2240.0,80.0,106.7
2020-11-01,Seated Calf Raise (Plate Loaded),3,1320.0,30.0,47.0
2020-11-01,Seated Leg Curl (Machine),3,2033.0,62.5,86.7
2020-11-01,Seated Leg Press (Machine),4,3878.0,108.1,143.0
2020-11-01,Shrug (Dumbbell),15,4466.0,22.0,33.0
2020-12-01,Ab Wheel,12,0.0,0.0,0.0
2020-12-01,Bent Over One Arm Row (Dumbbell),3,660.0,22.0,29.3
2020-12-01,Bicep Curl (Cable),3,0.0,0.0,0.0
2020-12-01,Chest Dip,12,0.0,0.0,0.0
2020-12-01,Goblet Squat (Kettlebell),6,2354.0,22.0,36.7
2020-12-01,Handstand Push Up,9,0.0,0.0,0.0
2020-12-01,Kettlebell Swing,3,960.0,16.0,26.7
2020-12-01,Lateral Raise (Dumbbell),12,975.0,5.0,8.2
2020-12-01,Overhead Press (Dumbbell),12,1712.0,16.0,21.9
2020-12-01,Pull Up,6,0.0,0.0,0.0
2020-12-01,Pullover (Dumbbell),3,814.0,22.0,31.5
2020-12-01,Push Up,9,0.0,0.0,0.0
2021-01-01,Ab Wheel,12,0.0,0.0,0.0
2021-01-01,Bent Over One Arm Row (Dumbbell),15,3740.0,22.0,31.5
2021-01-01,Bicep Curl (Cable),15,0.0,0.0,0.0
2021-01-01,Bicep Curl (Dumbbell),11,885.0,5.0,8.0
2021-01-01,Bulgarian Split Squat,12,2330.0,17.5,32.3
2021-01-01,Chest Dip,12,0.0,0.0,0.0
2021-01-01,Deadlift (Dumbbell),15,3552.0,16.0,24.5
2021-01-01,Goblet Squat (Kettlebell),9,3740.0,22.0,36.7
2021-01-01,Handstand Push Up,12,0.0,0.0,0.0
2021-01-01,Lateral Raise (Dumbbell),15,1205.0,5.0,8.3
2021-01-01,Overhead Press (Dumbbell),12,1568.0,16.0,21.3
2021-01-01,Pull Up,20,751.0,4.1,27.9
2021-01-01,Push Up,12,0.0,0.0,0.0
2021-01-01,Shrug (Dumbbell),12,3190.0,22.0,33.0
2021-01-01,Triceps Dip,6,0.0,0.0,0.0
2021-02-01,Arnold Press (Dumbbell),12,1680.0,16.0,21.3
2021-02-01,Bent Over One Arm Row (Dumbbell),15,4312.0,22.0,33.0
2021-02-01,Bent Over Row (Band),15,0.0,0.0,0.0
2021-02-01,Bicep Curl (Cable),23,0.0,0.0,0.0
2021-02-01,Bicep Curl (Dumbbell),12,685.0,5.0,8.3
2021-02-01,Bulgarian Split Squat,12,3718.0,22.0,33.7
2021-02-01,Chest Dip,28,0.0,0.0,0.0
2021-02-01,Deadlift (Dumbbell),12,2720.0,16.0,24.0
2021-02-01,Face Pull (Cable),6,0.0,0.0,0.0
2021-02-01,Goblet Squat (Kettlebell),15,6424.0,22.0,38.1
2021-02-01,Handstand Push Up,12,0.0,0.0,0.0
2021-02-01,Hip Thrust (Barbell),9,1830.0,19.3,30.8
2021-02-01,Lateral Raise (Dumbbell),15,1190.0,5.0,7.8
2021-02-01,Lunge (Dumbbell),3,858.0,22.0,33.0
2021-02-01,Overhead Press (Dumbbell),18,3440.0,16.0,24.5
2021-02-01,Pull Up,12,670.0,4.8,10.7
2021-02-01,Push Up,6,365.0,5.0,7.5
2021-02-01,Push Up (Band),9,0.0,0.0,0.0
2021-02-01,Shrug (Barbell),12,2616.0,17.5,29.3
2021-02-01,Triceps Extension,27,0.0,0.0,0.0
2021-02-01,Upright Row (Dumbbell),12,3126.0,20.5,32.3
2021-02-01,Wide Pull Up,20,304.0,2.4,19.7
2021-03-01,Bent Over One Arm Row (Dumbbell),15,4466.0,22.0,34.5
2021-03-01,Bent Over Row (Band),18,0.0,0.0,0.0
2021-03-01,Bicep Curl (Cable),30,0.0,0.0,0.0
2021-03-01,Chest Dip,37,0.0,0.0,0.0
2021-03-01,Deadlift (Dumbbell),14,3866.0,19.9,33.0
2021-03-01,Goblet Squat (Kettlebell),24,7964.0,22.0,34.5
2021-03-01,Handstand Push Up,3,0.0,0.0,0.0
2021-03-01,Kettlebell Swing,3,1040.0,16.0,28.3
2021-03-01,Lateral Raise (Dumbbell),33,3190.0,5.0,8.7
2021-03-01,Overhead Press (Dumbbell),33,6676.0,18.0,32.3
2021-03-01,Push Up (Band),24,448.0,2.0,22.4
2021-03-01,Shrug (Barbell),18,4144.0,16.0,24.5
2021-03-01,Triceps Extension,36,0.0,0.0,0.0
2021-03-01,Upright Row (Dumbbell),18,5544.0,22.0,35.9
2021-03-01,Wide Pull Up,41,3095.0,10.2,20.8
2021-04-01,Ab Wheel,9,0.0,0.0,0.0
2021-04-01,Bent Over One Arm Row (Dumbbell),26,8250.0,22.0,34.5
2021-04-01,Bicep Curl (Cable),33,4488.0,13.3,32.3
2021-04-01,Chest Dip,24,185.0,0.6,7.3
2021-04-01,Cross Body Crunch,9,0.0,0.0,0.0
2021-04-01,Crunch,9,660.0,3.3,8.7
2021-04-01,Deadlift (Dumbbell),9,2948.0,22.0,33.7
2021-04-01,Goblet Squat (Kettlebell),9,3916.0,22.0,37.4
2021-04-01,Hip Thrust (Barbell),9,2684.0,22.0,32.3
2021-04-01,Lateral Raise (Dumbbell),21,2080.0,5.0,8.7
2021-04-01,Leg Extension (Machine),9,8228.0,70.8,103.9
2021-04-01,Lunge (Dumbbell),3,1216.0,38.0,53.2
2021-04-01,Overhead Press (Dumbbell),28,6058.0,17.7,28.6
2021-04-01,Pull Up,3,175.0,5.0,7.2
2021-04-01,Push Up (Band),21,595.0,2.4,7.3
2021-04-01,Shrug (Barbell),24,8138.0,20.3,35.9
2021-04-01,Shrug (Dumbbell),3,880.0,22.0,32.3
2021-04-01,Triceps Extension,24,0.0,0.0,0.0
2021-04-01,Upright Row (Dumbbell),24,10692.0,22.0,38.9
2021-04-01,Wide Pull Up,28,2451.0,10.0,21.3
2021-05-01,Ab Wheel,3,0.0,0.0,0.0
2021-05-01,Bench Press (Barbell),10,5710.0,49.0,91.0
2021-05-01,Bent Over One Arm Row (Dumbbell),13,4070.0,22.0,33.0
2021-05-01,Bicep Curl (Barbell),3,855.0,23.3,35.0
2021-05-01,Bicep Curl (Cable),19,3168.0,15.1,32.3
2021-05-01,Bicep Curl (Dumbbell),3,328.0,8.0,11.7
2021-05-01,Bicep Curl (Machine),13,6997.0,46.5,74.2
2021-05-01,Cable Crossover,6,913.0,11.7,17.9
2021-05-01,Chest Dip,12,765.0,5.0,7.7
2021-05-01,Chest Fly,9,6930.0,56.7,92.0
2021-05-01,Cross Body Crunch,9,0.0,0.0,0.0
2021-05-01,Crunch,6,0.0,0.0,0.0
2021-05-01,Deadlift (Barbell),16,12890.0,77.5,126.7
2021-05-01,Deadlift (Dumbbell),7,3232.0,31.1,58.3
2021-05-01,Goblet Squat (Kettlebell),3,1320.0,22.0,36.7
2021-05-01,Hip Abductor (Machine),2,1725.0,57.5,86.3
2021-05-01,Hip Adductor (Machine),3,3130.0,63.3,100.3
2021-05-01,Hip Thrust (Barbell),6,1914.0,22.0,34.5
2021-05-01,Incline Bench Press (Dumbbell),12,3570.0,25.2,39.2
2021-05-01,Lat Pulldown (Cable),16,9680.0,55.9,93.3
2021-05-01,Lateral Raise (Cable),16,1362.0,7.0,11.0
2021-05-01,Lateral Raise (Dumbbell),12,1300.0,5.0,8.7
2021-05-01,Leg Extension (Machine),12,10665.0,63.3,107.5
2021-05-01,Leg Press,16,36210.0,173.8,322.7
2021-05-01,Lunge (Dumbbell),6,2964.0,38.0,58.3
2021-05-01,Lying Leg Curl (Machine),12,5148.0,39.2,58.1
2021-05-01,Overhead Press (Dumbbell),20,4457.0,19.8,30.1
2021-05-01,Pullover (Machine),15,6288.0,25.7,45.0
2021-05-01,Push Up (Band),12,380.0,2.5,7.7
2021-05-01,Reverse Fly (Machine),3,1858.0,38.3,65.2
2021-05-01,Seated Leg Curl (Machine),3,1850.0,50.0,73.3
2021-05-01,Seated Overhead Press (Dumbbell),7,1352.0,19.4,26.7
2021-05-01,Seated Row (Cable),15,10680.0,68.0,100.3
2021-05-01,Shrug (Barbell),24,10234.0,23.0,40.7
2021-05-01,Squat (Barbell),10,4880.0,48.0,80.0
2021-05-01,Strict Military Press (Barbell),4,1160.0,32.5,50.7
2021-05-01,Sumo Deadlift (Barbell),4,2590.0,65.0,91.0
2021-05-01,Triceps Extension,12,0.0,0.0,0.0
2021-05-01,Triceps Extension (Cable),3,871.0,20.4,30.5
2021-05-01,Triceps Pushdown (Cable - Straight Bar),12,4219.0,24.3,38.3
2021-05-01,Upright Row (Dumbbell),9,4378.0,22.0,38.9
2021-05-01,Wide Pull Up,14,1263.0,9.4,21.3
2021-06-01,Bench Press (Barbell),17,8700.0,55.6,95.7
2021-06-01,Bicep Curl (Barbell),3,875.0,25.0,36.7
2021-06-01,Bicep Curl (Cable),3,240.0,7.5,10.5
2021-06-01,Bicep Curl (Machine),15,7659.0,50.8,76.0
2021-06-01,Cable Crossover,3,413.0,12.5,17.1
2021-06-01,Chest Fly,9,6763.0,55.8,90.1
2021-06-01,Crunch (Machine),3,1390.0,31.7,52.5
2021-06-01,Deadlift (Barbell),25,20590.0,82.4,130.0
2021-06-01,Hip Abductor (Machine),3,2070.0,57.5,80.5
2021-06-01,Hip Adductor (Machine),3,3760.0,80.0,125.3
2021-06-01,Incline Bench Press (Dumbbell),14,4042.0,27.3,44.0
2021-06-01,Lat Pulldown (Cable),13,9000.0,66.9,98.0
2021-06-01,Lat Pulldown (Machine),3,2275.0,65.0,91.0
2021-06-01,Lateral Raise (Cable),3,285.0,7.3,10.5
2021-06-01,Lateral Raise (Machine),15,5473.0,31.2,47.7
2021-06-01,Leg Extension (Machine),12,11890.0,70.0,113.6
2021-06-01,Leg Press,20,50260.0,188.5,337.3
2021-06-01,Lying Leg Curl (Machine),12,5793.0,44.0,66.7
2021-06-01,Overhead Press (Dumbbell),3,660.0,20.0,28.0
2021-06-01,Pullover (Machine),6,2636.0,26.5,42.8
2021-06-01,Reverse Fly (Machine),12,7680.0,43.1,68.3
2021-06-01,Seated Leg Curl (Machine),6,4918.0,57.5,89.6
2021-06-01,Seated Leg Press (Machine),5,6585.0,99.5,150.3
2021-06-01,Seated Overhead Press (Dumbbell),5,960.0,18.8,27.3
2021-06-01,Seated Row (Cable),6,3550.0,73.3,98.7
2021-06-01,Seated Row (Machine),12,8465.0,66.9,95.7
2021-06-01,Shoulder Press (Machine),6,2600.0,40.0,56.0
2021-06-01,Shrug (Dumbbell),12,5090.0,27.0,44.8
2021-06-01,Skullcrusher (Barbell),10,3040.0,24.5,36.7
2021-06-01,Squat (Barbell),5,2610.0,56.0,88.7
2021-06-01,Triceps Extension (Machine),4,3375.0,53.3,117.3
2021-06-01,Triceps Pushdown (Cable - Straight Bar),6,1995.0,28.8,43.3
2021-07-01,Bench Press (Barbell),16,8730.0,58.1,95.7
2021-07-01,Bent Over Row (Barbell),6,4090.0,53.3,86.0
2021-07-01,Bicep Curl (Barbell),6,1890.0,27.1,38.5
2021-07-01,Bicep Curl (Machine),21,10049.0,50.9,77.7
2021-07-01,Cable Crossover,15,2290.0,11.7,19.7
2021-07-01,Chest Dip,10,2040.0,17.0,29.3
2021-07-01,Chest Fly,9,7215.0,58.6,91.7
2021-07-01,Deadlift (Barbell),6,4220.0,63.3,90.7
2021-07-01,Glute Kickback (Machine),3,1400.0,46.7,66.7
2021-07-01,Hip Abductor (Machine),12,11510.0,67.5,106.2
2021-07-01,Hip Adductor (Machine),6,8590.0,84.2,138.8
2021-07-01,Incline Bench Press (Dumbbell),18,4748.0,27.6,44.8
2021-07-01,Incline Chest Press (Machine),14,4335.0,34.3,50.7
2021-07-01,Lat Pulldown (Cable),12,6720.0,51.3,98.0
2021-07-01,Lat Pulldown (Single Arm),3,933.0,37.5,49.0
2021-07-01,Lateral Raise (Machine),27,9248.0,31.2,49.8
2021-07-01,Leg Extension (Machine),21,22650.0,83.2,130.3
2021-07-01,Leg Press,35,91930.0,183.4,345.0
2021-07-01,Lying Leg Curl (Machine),6,3445.0,49.2,71.7
2021-07-01,Overhead Press (Dumbbell),6,1356.0,21.0,29.3
2021-07-01,Preacher Curl (Machine),6,2133.0,33.3,53.3
2021-07-01,Pull Up,8,660.0,8.8,19.5
2021-07-01,Pullover (Machine),3,1220.0,27.8,44.1
2021-07-01,Reverse Fly (Machine),21,14245.0,50.2,84.3
2021-07-01,Romanian Deadlift (Barbell),8,5540.0,61.3,98.0
2021-07-01,Seated Leg Curl (Machine),21,16600.0,60.4,99.1
2021-07-01,Seated Leg Press (Machine),5,7770.0,104.5,168.7
2021-07-01,Seated Overhead Press (Dumbbell),3,540.0,20.0,26.7
2021-07-01,Seated Row (Machine),18,13605.0,72.4,105.9
2021-07-01,Shoulder Press (Machine),12,4820.0,39.6,57.3
2021-07-01,Skullcrusher (Barbell),9,2975.0,25.3,37.5
2021-07-01,Triceps Extension,3,180.0,6.7,9.5
2021-07-01,Triceps Extension (Cable),3,926.0,23.8,35.6
2021-07-01,Triceps Pushdown (Cable - Straight Bar),9,2813.0,26.3,42.2
2021-08-01,Bench Press (Barbell),24,13905.0,62.3,98.7
2021-08-01,Bent Over Row (Barbell),9,6080.0,48.9,92.0
2021-08-01,Bicep Curl (Barbell),9,3033.0,28.1,40.3
2021-08-01,Bicep Curl (Cable),6,1563.0,22.5,35.0
2021-08-01,Bicep Curl (Machine),18,9923.0,57.0,84.0
2021-08-01,Cable Crossover,24,3561.0,10.5,20.6
2021-08-01,Chest Fly,3,2430.0,60.8,89.6
2021-08-01,Glute Kickback (Machine),3,1955.0,54.2,80.7
2021-08-01,Hip Abductor (Machine),3,3968.0,77.5,128.0
2021-08-01,Hip Adductor (Machine),3,5300.0,98.3,158.3
2021-08-01,Incline Bench Press (Dumbbell),15,4354.0,29.1,48.7
2021-08-01,Incline Chest Press (Machine),14,5515.0,36.4,58.5
2021-08-01,Incline Curl (Dumbbell),6,840.0,11.0,16.0
2021-08-01,Lat Pulldown (Cable),27,20715.0,70.0,114.7
2021-08-01,Lat Pulldown - Underhand (Band),3,1675.0,46.7,68.3
2021-08-01,Lateral Raise (Cable),9,938.0,7.5,11.3
2021-08-01,Lateral Raise (Dumbbell),6,706.0,9.7,14.7
